Mode,Map,Result,Score,Pick 1,Pick 2,Pick 3,Pick 4,Pick 5,Pick 6,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,W/L
Hot Zone,Open Business,Red,0,Cordelius,Spike,Poco,Frank,Charlie,Colt,Meg,Jessie,Lou,Sandy,Angelo,Lily,W
Hot Zone,Open Business,Red,0,Sandy,Jessie,Emz,Spike,Surge,Fang,Colette,Poco,Lily,Frank,Buster,Meg,L
Hot Zone,Dueling Beetles,Blue,0,Meg,Lou,Surge,Gale,Nita,Larry,Sandy,Kit,Berry,Jessie,Frank,Lily,L
Brawl Ball,Center Stage,Red,0,Jackie,Nita,Rico,Sandy,Surge,Meg,Shelley,Jessie,Frank,Frank,Lily,Jessie,W
Hot Zone,Open Business,Red,1,Nita,Barley,Sandy,Fang,Berry,Buzz,Angelo,Larry,Lily,Mandy,Jessie,Meg,L
Brawl Ball,Center Stage,Blue,0,Rosa,Nita,Meg,Tara,Surge,Melodie,Lily,Berry,Frank,Amber,Rank,Rico,L
Heist,Hot Potato,Red,0,Colt,Rico,Spike,Buzz,Dyna,Mico,Melodie,Colette,Barley,Chuck,Crow,Pam,W
Hot Zone,Open Business,Red,0,Surge,Meg,Frank,Barley,Colette,Larry,Gale,Berry,Amber,Sandy,Kit,Lily,W
Hot Zone,Open Business,Blue,0,Surge,Berry,Meg,Sandy,Jessie,Dyna,Nita,Emz,Gale,Draco,Sam,Tick,W
Hot Zone,Dueling Beetles,Red,0,Poco,Jessie,Surge,Meg,Byron,Tara,Gale,Lou,Lily,Berry,Dyna,Frank,L
Heist,Hot Potato,Blue,0,Nita,Frank,Jessie,Dyna,Bibi,Rico,Colette,Chuck,Jackie,Chuck,Edgar,Melodie,L
Knockout,Out in the Open,Red,1,Nani,Piper,Brock,Gene,Mandy,Belle,Lily,Squeak,Angelo,Lily,Frank,Melodie,W
Bounty,Canal Grande,Blue,0,Angelo,Bibi,Surge,Meg,Larry,Kit,Tick,Lily,Frank,Jackie,Frank,Grom,W
Heist,Hot Potato,Red,1,Nita,Charlie,Meg,Colette,Cordelius,Penny,Bibi,Chuck,Rico,Jessie,Chuck,Rico,L
Gem Grab,Double Swoosh,Blue,0,Sandy,Nita,Colette,Cordelius,Spike,Crow,Meg,Surge,Lily,Buzz,Leon,Chester,W
Bounty,Hideout,Red,0,Piper,Lily,Byron,Gray,Gene,Belle,Angelo,Edgar,Tick,Leon,Brock,Mandy,W
Hot Zone,Dueling Beetles,Red,0,Jessie,Colt,Rico,Spike,Gale,Meg,Berry,Dyna,Emz,Bibi,Chuck,Lily,W
Knockout,Flaring Phoenix,Red,0,Bo,Leon,Tick,Mandy,Meg,Carl,Gale,Grom,Berry,Gene,Angelo,Mico,L
Knockout,Flaring Phoenix,Blue,1,Tick,Piper,Meg,Mico,Leon,Spike,Mandy,Larry,Byron,Berry,Lily,Edgar,L
Knockout,Out in the Open,Red,0,Buster,Gale,Byron,Gene,Angelo,Mr. P,Mandy,Tick,Carl,Piper,Lily,Brock,W
Gem Grab,Double Swoosh,Blue,0,Jessie,Amber,Spike,Meg,Bibi,Colette,Rosa,Lily,Surge,Sandy,Gene,Gale,W
Gem Grab,Double Swoosh,Red,0,Buzz,Frank,Colette,Griff,Cordelius,Nita,Surge,Meg,Berry,Sandy,Lily,Berry,W
