"","wins","games","wins/games","brawler"
"Squeak",0,2,0,"Squeak"
"Sprout",0,4,0,"Sprout"
"Gray",0,4,0,"Gray"
"Melodie",0,4,0,"Melodie"
"R-T",0,2,0,"R-T"
"Bea",0,2,0,"Bea"
"Bo",1,11,0.0909090909090909,"Bo"
"Lou",1,5,0.2,"Lou"
"Max",1,5,0.2,"Max"
"Jackie",2,9,0.222222222222222,"Jackie"
"Crow",2,7,0.285714285714286,"Crow"
"Chester",5,14,0.357142857142857,"Chester"
"Colette",8,22,0.363636363636364,"Colette"
"Dyna",9,24,0.375,"Dyna"
"Griff",3,8,0.375,"Griff"
"Spike",11,28,0.392857142857143,"Spike"
"Buster",2,5,0.4,"Buster"
"Berry",6,15,0.4,"Berry"
"Charlie",2,5,0.4,"Charlie"
"Mr. P",4,10,0.4,"Mr. P"
"Fang",7,16,0.4375,"Fang"
"Rico",12,26,0.461538461538462,"Rico"
"Edgar",6,13,0.461538461538462,"Edgar"
"Colt",14,30,0.466666666666667,"Colt"
"Surge",15,32,0.46875,"Surge"
"Gene",8,17,0.470588235294118,"Gene"
"Cordelius",10,21,0.476190476190476,"Cordelius"
"Jessie",18,37,0.486486486486487,"Jessie"
"Poco",2,4,0.5,"Poco"
"Angelo",2,4,0.5,"Angelo"
"Buzz",11,22,0.5,"Buzz"
"Belle",8,16,0.5,"Belle"
"Eve",2,4,0.5,"Eve"
"Barley",4,8,0.5,"Barley"
"Amber",2,4,0.5,"Amber"
"Byron",10,20,0.5,"Byron"
"Bull",2,4,0.5,"Bull"
"Kit",5,10,0.5,"Kit"
"Brock",17,33,0.515151515151515,"Brock"
"Nita",15,29,0.517241379310345,"Nita"
"Gale",15,29,0.517241379310345,"Gale"
"Frank",14,27,0.518518518518518,"Frank"
"Sandy",10,19,0.526315789473684,"Sandy"
"Mandy",10,19,0.526315789473684,"Mandy"
"Piper",20,37,0.540540540540541,"Piper"
"Carl",6,11,0.545454545454545,"Carl"
"Larry",12,21,0.571428571428571,"Larry"
"Bibi",12,21,0.571428571428571,"Bibi"
"Lily",4,7,0.571428571428571,"Lily"
"Leon",11,19,0.578947368421053,"Leon"
"Meg",45,76,0.592105263157895,"Meg"
"8-Bit",3,5,0.6,"8-Bit"
"Mico",11,18,0.611111111111111,"Mico"
"Nani",5,8,0.625,"Nani"
"Primo",5,8,0.625,"Primo"
"Tick",18,28,0.642857142857143,"Tick"
"Draco",2,3,0.666666666666667,"Draco"
"Hank",2,3,0.666666666666667,"Hank"
"Penny",2,3,0.666666666666667,"Penny"
"Grom",11,14,0.785714285714286,"Grom"
"Rosa",4,5,0.8,"Rosa"
"Pearl",4,5,0.8,"Pearl"
"Tara",6,7,0.857142857142857,"Tara"
"Emz",8,9,0.888888888888889,"Emz"
"Stu",2,2,1,"Stu"
"Otis",2,2,1,"Otis"
